Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
NQH00,2000-01-03,6352,6482,6283,6375.5,2621.5,+69.83%,15416,7461
NQH00,2000-01-04,6278,6444.5,6127,6159.5,-216.,-3.39%,15455,7655
NQH00,2000-01-05,6159.5,6220,5997,6114.5,-45.,-0.73%,15273,7474
NQH00,2000-01-06,6095,6155,5884.5,5917.5,-197.,-3.22%,15551,8245
NQH00,2000-01-07,5886.5,6176.5,5859,6164,246.5,+4.17%,14128,8360
NQH00,2000-01-10,6163,6354.5,6156.5,6343,179,+2.90%,15743,8600
NQH00,2000-01-11,6290,6368,6144,6177,-166.,-2.62%,16840,8520
NQH00,2000-01-12,6178,6217,6078,6110,-67.,-1.08%,15547,8238
NQH00,2000-01-13,6110,6253,6104,6246,136,+2.23%,13409,8268
NQH00,2000-01-14,6262,6387,6247,6354.5,108.5,+1.74%,12244,9095
NQH00,2000-01-18,6362,6421.5,6271.5,6402,47.5,+0.75%,14824,9732
NQH00,2000-01-19,6402.5,6452.5,6343,6446.5,44.5,+0.70%,14309,9550
NQH00,2000-01-20,6449,6515,6413,6482,35.5,+0.55%,16054,9142
NQH00,2000-01-21,6472,6516,6426,6495,13,+0.20%,10416,8897
NQH00,2000-01-24,6493.5,6540,6277.5,6284,-211.,-3.25%,15881,8524
NQH00,2000-01-25,6277,6399,6208.5,6393.5,109.5,+1.74%,17930,8396
NQH00,2000-01-26,6377,6389.5,6239.5,6256.5,-137.,-2.14%,14483,8994
NQH00,2000-01-27,6230.5,6336,6194,6238,-18.5,-0.30%,15985,8556
NQH00,2000-01-28,6242.5,6287,6011,6077,-161.,-2.58%,16259,9040
NQH00,2000-01-31,6064,6222,5973,6214.5,137.5,+2.26%,17841,8888
NQH00,2000-02-01,6208.5,6337,6166,6325.5,111,+1.79%,13664,6795
NQH00,2000-02-02,6321.5,6418,6294,6336,10.5,+0.17%,13436,6793
NQH00,2000-02-03,6336,6494.5,6315,6494.5,158.5,+2.50%,16812,7565
NQH00,2000-02-04,6490,6562,6463,6508.5,14,+0.22%,11607,7815
NQH00,2000-02-07,6508.5,6560.5,6477.5,6559,50.5,+0.78%,10266,8330
NQH00,2000-02-08,6546.5,6700.5,6544,6697,138,+2.10%,15070,9720
NQH00,2000-02-09,6702,6746,6578.5,6578.5,-118.5,-1.77%,19889,9679
NQH00,2000-02-10,6573,6718,6570,6714,135.5,+2.06%,18454,9841
NQH00,2000-02-11,6711,6742,6552,6594.5,-119.5,-1.78%,18762,9803
NQH00,2000-02-14,6585.5,6630,6536,6605.5,11,+0.17%,18158,9494
