timeframe,short_ema,long_ema,stop_loss,take_profit,sharpe_ratio,total_return_pct,win_rate,max_drawdown
1m,15,25,2,44,1.8028858123432963,601.1999999999999,0.073027356997513,11.125
1m,30,50,3,44,1.8014036607627868,434.90000000000003,0.09748999636231356,9.269841269841269
1m,30,50,3,47,1.7801284383304194,430.3,0.09248773121932805,8.911521323997453
1m,30,50,3,46,1.7735147934205273,432.2,0.09379615952732644,8.658536585365853
1m,30,50,3,43,1.7483059987967717,419.7,0.09795479009687837,11.047979797979798
1m,30,50,3,32,1.742107645929328,426.40000000000003,0.12157786282013541,11.84302733006307
1m,30,50,3,48,1.7397758045201661,424.2,0.09022272555681389,8.598726114649681
1m,30,50,3,45,1.7193272087777272,416.09999999999997,0.09412623130244437,8.949658172778124
1m,15,25,2,43,1.7181030893958398,566.0999999999999,0.07251227130745203,11.63849154746424
1m,15,25,2,45,1.707428596359219,565.7,0.06999544003647971,10.792682926829269
1m,15,25,2,35,1.7040054516534995,573.9,0.0837967401725791,8.404907975460123
1m,30,50,3,33,1.7035663234561613,415.2,0.11794717887154862,11.379310344827587
1m,30,50,3,49,1.6865886936988972,409.70000000000005,0.08775276611980161,8.458646616541353
1m,15,25,2,36,1.6835382003465247,566.2,0.08167641325536062,8.426270136307311
1m,15,25,2,46,1.681444029439408,561.0,0.06840539922214596,10.501193317422434
1m,20,70,3,47,1.669278264930333,411.00000000000006,0.09010989010989011,9.29281122150789
1m,15,25,2,41,1.6658891872906145,549.2,0.07397849462365591,9.202453987730062
1m,15,25,2,50,1.6641722289271268,537.2,0.06414719045251119,10.552147239263803
1m,5,65,2,23,1.6640178593017387,513.4000000000001,0.11321365033155426,12.454545454545455
1m,15,25,2,34,1.657412157227849,558.8,0.08461250467989517,8.383961117861482
1m,5,65,2,21,1.6566143204419228,509.8,0.12098879164747428,10.531053105310532
1m,5,65,2,31,1.6547046827086178,521.1999999999999,0.09051316038629048,10.985178727114212
1m,5,65,2,22,1.6477569117521769,506.59999999999997,0.11665351223362273,10.288808664259928
1m,25,60,3,47,1.6421713440819419,400.8,0.08953574060427413,9.786768726079826
1m,5,65,2,26,1.6387397133551436,509.0,0.1027763407484049,11.347517730496454
1m,5,65,2,40,1.6313209670241113,512.2,0.07462356067316209,7.729468599033816
1m,5,170,2,34,1.6305719283026272,413.8,0.084056533597818,6.764705882352941
1m,5,65,2,29,1.6293599558642793,507.09999999999997,0.09454745731595374,9.412780656303973
1m,5,65,2,30,1.6279755120196493,508.8,0.0921641791044776,11.168384879725087
1m,5,65,2,34,1.6278348665952336,512.0,0.084,9.726962457337883
1m,10,75,2,50,1.6251750554109314,480.79999999999995,0.06341068537506746,9.176788124156547
1m,20,25,2,33,1.6222632955614407,530.1999999999999,0.08575746127691726,6.127167630057803
1m,5,70,2,38,1.622140890825243,505.6,0.07728842832469776,11.57167530224525
1m,25,60,3,48,1.6218303312079074,399.90000000000003,0.08772576483597494,9.289909236518954
