Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ESH00,2000-01-03,1960,1967,1923.25,1937.75,453.5,+30.55%,61942,13967
ESH00,2000-01-04,1938,1939.75,1880.5,1882.5,-55.25,-2.85%,64049,13007
ESH00,2000-01-05,1882.5,1898.25,1856,1884,1.5,+0.08%,73127,13870
ESH00,2000-01-06,1882,1897.25,1866.75,1875.75,-8.25,-0.44%,67907,14550
ESH00,2000-01-07,1874.75,1932.5,1868.5,1930.75,55,+2.93%,60548,15339
ESH00,2000-01-10,1930.75,1952,1925.25,1945.25,14.5,+0.75%,59343,16080
ESH00,2000-01-11,1944.75,1946,1918,1925,-20.25,-1.04%,70097,16982
ESH00,2000-01-12,1924.5,1930.5,1909.75,1912.5,-12.5,-0.65%,62509,16832
ESH00,2000-01-13,1912.5,1937.75,1912.25,1930,17.5,+0.92%,57548,16006
ESH00,2000-01-14,1932.5,1956,1926.5,1949.25,19.25,+1.00%,57421,16106
ESH00,2000-01-18,1948.75,1950.5,1933,1940.25,-9.,-0.46%,65454,16859
ESH00,2000-01-19,1939.75,1945,1921.25,1943.5,3.25,+0.17%,57788,18126
ESH00,2000-01-20,1943.75,1956,1919,1927.25,-16.25,-0.84%,77208,18759
ESH00,2000-01-21,1926.25,1934.25,1920.25,1925,-2.25,-0.12%,58522,18315
ESH00,2000-01-24,1925,1939.5,1874.25,1883.75,-41.25,-2.14%,71542,18863
ESH00,2000-01-25,1882,1895.75,1868.5,1890,6.25,+0.33%,76356,18788
ESH00,2000-01-26,1888.5,1893.75,1879.25,1886.5,-3.5,-0.19%,58349,18235
ESH00,2000-01-27,1883.5,1899.5,1859,1880.75,-5.75,-0.30%,71793,19343
ESH00,2000-01-28,1882,1891,1832.25,1837.5,-43.25,-2.30%,70036,21233
ESH00,2000-01-31,1836.25,1874,1828,1872,34.5,+1.88%,64079,22333
ESH00,2000-02-01,1873.75,1892.75,1862.25,1887.75,15.75,+0.84%,58199,20033
ESH00,2000-02-02,1887.75,1900.5,1881,1886.5,-1.25,-0.07%,52671,21168
ESH00,2000-02-03,1886.75,1909.25,1876.25,1907.5,21,+1.11%,75196,21571
ESH00,2000-02-04,1907.5,1920.5,1897.5,1902.5,-5.,-0.26%,60837,22465
ESH00,2000-02-07,1900.5,1904.25,1890,1898.25,-4.25,-0.22%,60553,22827
ESH00,2000-02-08,1898.25,1920.5,1896.5,1917.25,19,+1.00%,62727,23329
ESH00,2000-02-09,1919,1925.75,1888,1889.25,-28.,-1.46%,77390,24720
ESH00,2000-02-10,1889.75,1900.25,1888.75,1890.25,1,+0.05%,68752,24010
ESH00,2000-02-11,1889.5,1897.5,1855.25,1867.75,-22.5,-1.19%,72338,24314
ESH00,2000-02-14,1867.25,1874.5,1857.75,1869.75,2,+0.11%,66901,24600
ESH00,2000-02-15,1870,1885.75,1852,1881,11.25,+0.60%,79731,26341
ESH00,2000-02-16,1881,1884.5,1861.25,1863.75,-17.25,-0.92%,70145,25711
ESH00,2000-02-17,1863.75,1878,1855.25,1856.5,-7.25,-0.39%,65710,26045
ESH00,2000-02-18,1857.75,1864.5,1820,1824.25,-32.25,-1.74%,63508,26711
ESH00,2000-02-22,1827,1834.75,1807.5,1820,-4.25,-0.23%,79232,26896
ESH00,2000-02-23,1820.25,1845.25,1815.5,1836.25,16.25,+0.89%,69634,28152
ESH00,2000-02-24,1836,1841,1802,1826.25,-10.,-0.54%,81197,29346
ESH00,2000-02-25,1826.75,1837.5,1802,1809,-17.25,-0.94%,74010,29855
ESH00,2000-02-28,1808.5,1837,1798.5,1818.75,9.75,+0.54%,82817,29230
ESH00,2000-02-29,1820.25,1845,1819,1843,24.25,+1.33%,66841,28309
ESH00,2000-03-01,1843.25,1859.75,1842,1856,13,+0.71%,60939,29663
ESH00,2000-03-02,1855.25,1861.5,1843.5,1856,0,0.00%,62580,30206
ESH00,2000-03-03,1855.75,1885.5,1854.5,1881.75,25.75,+1.39%,65615,30112
ESH00,2000-03-06,1882,1883.75,1857.25,1866,-15.75,-0.84%,60226,29928
ESH00,2000-03-07,1865.5,1875.5,1822,1822.75,-43.25,-2.32%,86423,32279
ESH00,2000-03-08,1823.75,1847,1819.5,1837.25,14.5,+0.80%,74892,32110
ESH00,2000-03-09,1838,1876,1828.5,1875.25,38,+2.07%,56689,34138
ESH00,2000-03-10,1874,1886.5,1865.25,1870.5,-4.75,-0.25%,68807,37110
ESM00,2000-03-13,1869.5,1871,1834,1854.25,-16.25,-0.87%,71453,38278
ESM00,2000-03-14,1854,1867,1829.5,1832.75,-21.5,-1.16%,79000,37191
ESM00,2000-03-15,1831.5,1870.25,1827.25,1866,33.25,+1.81%,85890,36678
ESM00,2000-03-16,1866,1934.25,1865,1930.75,64.75,+3.47%,82552,39472
ESM00,2000-03-17,1930,1950.5,1921,1941.75,11,+0.57%,65875,39257
ESM00,2000-03-20,1938.75,1943.25,1919.5,1930.75,-11.,-0.57%,58295,39066
ESM00,2000-03-21,1930.25,1967,1916,1960.25,29.5,+1.53%,69375,20285
ESM00,2000-03-22,1960.75,1978,1956.75,1970.25,10,+0.51%,63803,19191
ESM00,2000-03-23,1970,2005.75,1962.75,1996.75,26.5,+1.35%,68603,20348
ESM00,2000-03-24,1995.5,2027,1988,2008.25,11.5,+0.58%,67498,20996
ESM00,2000-03-27,2005,2007.25,1988.75,1991.25,-17.,-0.85%,48062,21853
ESM00,2000-03-28,1992.75,2002.25,1975.75,1983,-8.25,-0.41%,60995,23252
ESM00,2000-03-29,1982,1994,1967.75,1982.75,-0.25,-0.01%,60102,22669
ESM00,2000-03-30,1982.25,1993,1946.25,1957,-25.75,-1.30%,67212,23215
ESM00,2000-03-31,1958,1991.5,1953.75,1968,11,+0.56%,58523,24540
ESM00,2000-04-03,1966.75,1981.5,1954.75,1981,13,+0.66%,69288,25421
ESM00,2000-04-04,1981,1997.5,1883.75,1972.25,-8.75,-0.44%,95447,23919
ESM00,2000-04-05,1970.75,1974.5,1944,1958.25,-14.,-0.71%,78657,24043
ESM00,2000-04-06,1956.75,1983.5,1954.25,1969.25,11,+0.56%,63182,24690
ESM00,2000-04-07,1969.25,1987.75,1966.5,1981.75,12.5,+0.63%,59635,25181
ESM00,2000-04-10,1983.25,1996.75,1970.75,1974.25,-7.5,-0.38%,71318,25296
ESM00,2000-04-11,1973,1982,1950.25,1971.75,-2.5,-0.13%,87236,27607
ESM00,2000-04-12,1971.25,1977.25,1927.75,1929.5,-42.25,-2.14%,80052,28287
ESM00,2000-04-13,1929.25,1945.25,1904,1908.75,-20.75,-1.08%,82181,24782
ESM00,2000-04-14,1909.5,1915.5,1799.75,1820.25,-88.5,-4.64%,90234,28407
ESM00,2000-04-17,1819.5,1867.25,1795,1865.5,45.25,+2.49%,88973,28634
ESM00,2000-04-18,1866,1908.25,1853.75,1905.5,40,+2.14%,90310,29125
ESM00,2000-04-19,1903,1912.75,1888,1893,-12.5,-0.66%,79636,29710
ESM00,2000-04-20,1892.75,1900,1884.25,1900,7,+0.37%,104898,29710
ESM00,2000-04-24,1877.75,1895.5,1869.75,1889.75,-10.25,-0.54%,84039,31983
ESM00,2000-04-25,1891,1942.5,1890,1942,52.25,+2.76%,76337,34456
ESM00,2000-04-26,1941,1948,1919.75,1928.25,-13.75,-0.71%,74710,33485
ESM00,2000-04-27,1927.75,1933.5,1893.25,1920,-8.25,-0.43%,82037,34659
ESM00,2000-04-28,1920.75,1940,1910.75,1912.75,-7.25,-0.38%,55916,35089
ESM00,2000-05-01,1911.75,1948.75,1902.75,1929.75,17,+0.89%,70712,34963
ESM00,2000-05-02,1929.25,1931.5,1901.75,1903.25,-26.5,-1.37%,76465,34727
ESM00,2000-05-03,1903.5,1904.25,1857.25,1875.25,-28.,-1.47%,90152,34429
ESM00,2000-05-04,1876.75,1881.5,1864.25,1876,0.75,+0.04%,69949,34580
ESM00,2000-05-05,1876.25,1898.75,1858.75,1891.75,15.75,+0.84%,62533,35254
ESM00,2000-05-08,1891.25,1892.25,1877.25,1882.75,-9.,-0.48%,68325,35767
ESM00,2000-05-09,1883,1892.5,1862.25,1872.5,-10.25,-0.54%,79249,35473
ESM00,2000-05-10,1871.5,1878.5,1835.75,1840.5,-32.,-1.71%,95837,37327
ESM00,2000-05-11,1841,1871.75,1835.25,1867.75,27.25,+1.48%,71259,38997
ESM00,2000-05-12,1870.75,1891.5,1867,1883.5,15.75,+0.84%,67158,39462
