Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Sharpe Ratio Float
15,3,17,2.43,"15,737.68","16,023.20",214.75,33.51,43.82,1.27,1143,293,850,25.63,1.78,0.53,21.03,9.23,-3.63,-3.63,0.96,0.30,0.53
15,3,14,2.55,"14,545.72","14,861.20",190.91,30.89,43.82,1.19,1197,341,856,28.49,1.69,0.52,17.27,6.94,-4.45,-4.45,0.96,0.29,0.52
20,3,13,2.47,"14,081.60","14,259.60",181.63,29.82,43.21,1.14,1160,349,811,30.09,1.69,0.52,16.69,7.17,-4.16,-4.16,0.96,0.30,0.52
20,3,14,2.44,"14,370.20","14,636.96",187.40,30.49,43.21,1.16,1145,329,816,28.73,1.71,0.52,17.68,7.44,-4.10,-4.10,0.96,0.30,0.52
20,3,15,2.39,"14,556.24","14,768.00",191.12,30.91,43.21,1.20,1124,309,815,27.49,1.72,0.52,18.61,8.10,-3.82,-3.82,0.96,0.30,0.52
20,3,17,2.32,"15,282.16","15,635.20",205.64,32.53,43.21,1.25,1091,280,811,25.66,1.78,0.52,21.09,7.37,-4.41,-4.41,0.96,0.31,0.52
15,3,15,2.50,"14,775.52","15,036.00",195.51,31.41,43.82,1.22,1177,321,856,27.27,1.70,0.52,18.23,7.56,-4.16,-4.16,0.96,0.29,0.52
15,3,18,2.40,"15,241.28","15,571.68",204.83,32.44,43.82,1.29,1128,272,856,24.11,1.74,0.51,20.75,9.95,-3.26,-3.26,0.96,0.30,0.51
30,3,17,2.22,"14,729.20","15,049.76",194.58,31.30,43.59,1.23,1045,267,778,25.55,1.77,0.51,20.87,7.96,-3.93,-3.93,0.96,0.32,0.51
20,3,12,2.51,"13,586.80","13,621.04",171.74,28.66,43.21,1.11,1180,370,810,31.36,1.65,0.51,15.33,7.29,-3.93,-3.93,0.96,0.30,0.51
25,3,14,2.37,"13,954.88","14,221.64",179.10,29.53,43.28,1.17,1113,318,795,28.57,1.69,0.51,17.41,5.73,-5.16,-5.16,0.96,0.31,0.51
20,3,16,2.35,"14,447.28","14,666.56",188.95,30.66,43.21,1.22,1103,288,815,26.11,1.71,0.51,19.06,8.62,-3.56,-3.56,0.96,0.31,0.51
25,3,17,2.26,"14,920.64","15,273.68",198.41,31.73,43.28,1.24,1064,272,792,25.56,1.77,0.51,20.89,7.57,-4.19,-4.19,0.96,0.31,0.51
15,3,12,2.62,"13,701.08","13,767.80",174.02,28.93,43.82,1.13,1233,383,850,31.06,1.63,0.51,14.91,6.82,-4.24,-4.24,0.96,0.29,0.51
15,3,13,2.58,"14,117.12","14,327.60",182.34,29.91,43.82,1.16,1212,360,852,29.70,1.66,0.51,16.09,6.24,-4.80,-4.80,0.96,0.29,0.51
15,3,16,2.46,"14,759.04","15,010.80",195.18,31.37,43.82,1.24,1154,300,854,26.00,1.70,0.51,18.85,7.87,-3.99,-3.99,0.96,0.30,0.51
30,3,14,2.33,"13,939.68","14,173.96",178.79,29.49,43.59,1.16,1093,314,779,28.73,1.71,0.51,17.67,6.05,-4.87,-4.87,0.96,0.31,0.51
30,3,13,2.36,"13,453.60","13,679.12",169.07,28.34,43.59,1.12,1110,331,779,29.82,1.67,0.50,16.27,7.20,-3.94,-3.94,0.96,0.31,0.5
30,3,15,2.28,"14,124.48","14,303.76",182.49,29.92,43.59,1.19,1073,295,778,27.49,1.72,0.50,18.62,6.79,-4.41,-4.41,0.96,0.31,0.5
30,3,12,2.40,"13,140.04","13,141.80",162.80,27.58,43.59,1.09,1129,353,776,31.27,1.65,0.50,15.20,6.96,-3.96,-3.96,0.96,0.31,0.5
10,3,17,2.73,"15,296.56","15,544.48",205.93,32.53,43.91,1.32,1281,311,970,24.28,1.65,0.50,18.32,7.13,-4.57,-4.57,0.96,0.27,0.5
25,3,12,2.45,"13,340.24","13,374.48",166.80,28.07,43.28,1.11,1149,360,789,31.33,1.65,0.50,15.30,7.04,-3.99,-3.99,0.96,0.30,0.5
25,3,13,2.40,"13,705.04","13,883.04",174.10,28.94,43.28,1.14,1129,338,791,29.94,1.68,0.50,16.46,6.76,-4.28,-4.28,0.96,0.31,0.5
25,3,15,2.33,"14,159.68","14,371.44",183.19,30.00,43.28,1.20,1093,299,794,27.36,1.71,0.50,18.38,6.41,-4.68,-4.68,0.96,0.31,0.5
20,3,18,2.29,"14,494.52","15,018.68",189.89,30.77,43.21,1.28,1077,257,820,23.86,1.71,0.49,20.22,6.59,-4.67,-4.67,0.96,0.31,0.49
10,3,12,2.92,"13,677.48","13,756.60",173.55,28.85,43.91,1.17,1373,413,960,30.08,1.56,0.49,13.47,8.78,-3.29,-3.29,0.96,0.26,0.49
25,3,16,2.28,"14,079.48","14,298.76",181.59,29.82,43.28,1.22,1073,279,794,26.00,1.70,0.49,18.86,6.34,-4.70,-4.70,0.96,0.31,0.49
20,3,11,2.56,"12,865.76","12,865.76",157.32,26.90,43.21,1.10,1201,391,810,32.56,1.60,0.49,13.66,6.63,-4.06,-4.06,0.96,0.29,0.49
10,3,13,2.88,"13,843.52","14,056.40",176.87,29.24,43.91,1.21,1352,385,967,28.48,1.56,0.49,14.17,8.85,-3.31,-3.31,0.96,0.27,0.49
10,3,15,2.80,"14,498.16","14,741.04",189.96,30.76,43.91,1.27,1316,343,973,26.06,1.60,0.49,16.07,9.00,-3.42,-3.42,0.96,0.27,0.49
10,3,14,2.84,"14,243.36","14,551.24",184.87,30.17,43.91,1.23,1336,364,972,27.25,1.59,0.49,15.19,9.86,-3.06,-3.06,0.96,0.27,0.49
20,3,19,2.25,"14,800.56","15,277.36",196.01,31.46,43.21,1.32,1056,245,811,23.20,1.74,0.49,21.49,7.24,-4.35,-4.35,0.96,0.31,0.49
30,3,16,2.24,"13,913.04","14,194.84",178.26,29.43,43.59,1.21,1054,274,780,26.00,1.70,0.49,18.85,6.63,-4.44,-4.44,0.96,0.32,0.49
15,3,19,2.36,"15,292.32","15,565.36",205.85,32.55,43.82,1.35,1107,257,850,23.22,1.75,0.49,21.53,9.22,-3.53,-3.53,0.96,0.30,0.49
10,3,16,2.76,"14,352.96","14,577.12",187.06,30.43,43.91,1.30,1296,320,976,24.69,1.59,0.48,16.36,6.47,-4.70,-4.70,0.96,0.27,0.48
10,3,18,2.69,"14,801.40","15,084.20",196.03,31.44,43.91,1.35,1265,289,976,22.85,1.62,0.48,18.04,7.49,-4.20,-4.20,0.96,0.27,0.48
30,3,19,2.15,"14,447.60","14,891.92",188.95,30.67,43.59,1.29,1010,235,775,23.27,1.75,0.48,21.64,7.23,-4.24,-4.24,0.96,0.32,0.48
25,3,18,2.23,"14,198.00","14,722.16",183.96,30.09,43.28,1.27,1050,250,800,23.81,1.71,0.48,20.10,6.31,-4.77,-4.77,0.96,0.31,0.48
25,3,19,2.19,"14,469.04","14,945.84",189.38,30.71,43.28,1.31,1029,238,791,23.13,1.74,0.48,21.33,6.91,-4.44,-4.44,0.96,0.32,0.48
15,4,17,2.34,"15,047.24","15,610.28",200.94,32.01,43.82,1.36,1099,318,781,28.94,1.61,0.48,15.07,6.84,-4.68,-4.68,0.96,0.30,0.48
30,3,11,2.45,"12,520.24","12,520.24",150.40,26.03,43.59,1.08,1149,374,775,32.55,1.60,0.48,13.65,7.67,-3.40,-3.40,0.96,0.30,0.48
30,3,18,2.19,"14,086.56","14,578.24",181.73,29.83,43.59,1.26,1031,246,785,23.86,1.71,0.48,20.21,6.50,-4.59,-4.59,0.96,0.32,0.48
10,3,19,2.64,"15,063.68","15,262.88",201.27,32.02,43.91,1.40,1243,275,968,22.12,1.64,0.47,19.07,7.63,-4.20,-4.20,0.96,0.28,0.47
10,3,11,2.97,"12,816.48","12,824.32",156.33,26.76,43.91,1.15,1398,436,962,31.19,1.50,0.47,11.80,6.93,-3.86,-3.86,0.96,0.26,0.47
25,3,11,2.49,"12,545.44","12,545.44",150.91,26.10,43.28,1.10,1169,379,790,32.42,1.59,0.47,13.48,7.63,-3.42,-3.42,0.96,0.30,0.47
15,3,20,2.33,"15,079.68","15,312.72",201.59,32.08,43.82,1.41,1093,242,851,22.14,1.73,0.47,21.71,9.28,-3.46,-3.46,0.96,0.31,0.47
15,3,11,2.67,"12,775.04","12,775.04",155.50,26.68,43.82,1.12,1254,402,852,32.06,1.56,0.47,12.99,6.10,-4.37,-4.37,0.96,0.28,0.47
20,3,20,2.22,"14,479.20","14,926.00",189.58,30.74,43.21,1.38,1045,230,815,22.01,1.72,0.46,21.40,7.12,-4.32,-4.32,0.96,0.31,0.46
15,4,16,2.36,"14,023.60","14,552.88",180.47,29.69,43.82,1.34,1110,326,784,29.37,1.54,0.46,13.34,6.05,-4.91,-4.91,0.96,0.30,0.46
30,3,20,2.13,"14,191.24","14,605.56",183.82,30.08,43.59,1.36,999,221,778,22.12,1.73,0.46,21.67,7.18,-4.19,-4.19,0.96,0.32,0.46
20,3,10,2.61,"11,756.00","11,756.00",135.12,24.05,43.21,1.08,1225,410,815,33.47,1.51,0.45,11.42,6.46,-3.72,-3.72,0.96,0.29,0.45
15,4,18,2.30,"14,180.80","14,843.72",183.62,30.05,43.82,1.39,1080,292,788,27.04,1.55,0.45,14.30,5.31,-5.66,-5.66,0.96,0.31,0.45
15,7,17,2.10,"15,358.64","15,733.04",207.17,32.70,43.82,1.57,989,385,604,38.93,1.47,0.45,9.41,6.74,-4.85,-4.85,0.96,0.32,0.45
