Start Date,End Date,Exposure Time,Final Account Balance,Equity Peak,Total Return,Annualized Return,Benchmark Return,Volatility (Annual),Total Trades,Winning Trades,Losing Trades,Win Rate,Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Average Drawdown,Max Drawdown Duration,Average Drawdown Duration,Simulation
2017-01-03,2024-12-26,31.94%,16277.61,"$16,425.51",225.55,15.95,128.19,7.49,792,352,440,44.44%,1.53,1.97,3.95,47.22,-4.78,-1.33,0.00 days,0.00 days,1
2017-01-03,2024-12-26,30.16%,16956.09,"$17,128.00",239.12,16.54,128.19,7.4,832,368,464,44.23%,1.6,2.06,4.37,54.65,-4.38,-1.29,0.00 days,0.00 days,2
2017-01-03,2024-12-26,30.16%,17026.94,"$17,198.26",240.54,16.6,128.19,7.39,832,368,464,44.23%,1.6,2.07,4.39,55.3,-4.35,-1.28,0.00 days,0.00 days,3
2017-01-03,2024-12-26,29.40%,17359.07,"$17,457.41",247.18,16.88,128.19,7.13,823,336,487,40.83%,1.67,2.17,5.32,51.61,-4.79,-1.17,0.00 days,0.00 days,4
2017-01-03,2024-12-26,33.12%,16982.12,"$17,042.52",239.64,16.56,128.19,7.5,736,306,430,41.58%,1.58,2.03,4.48,54.84,-4.37,-1.21,0.00 days,0.00 days,5
2017-01-03,2024-12-26,30.37%,17128.4,"$17,140.81",242.57,16.69,128.19,7.27,784,300,484,38.27%,1.66,2.11,5.23,39.6,-6.13,-1.18,0.00 days,0.00 days,6
2017-01-03,2024-12-26,29.84%,17027.54,"$17,094.06",240.55,16.6,128.19,7.22,798,315,483,39.47%,1.65,2.11,5.17,51.14,-4.7,-1.16,0.00 days,0.00 days,7
2017-01-03,2024-12-26,29.40%,17443.05,"$17,540.78",248.86,16.95,128.19,7.11,823,336,487,40.83%,1.67,2.19,5.36,52.18,-4.77,-1.16,0.00 days,0.00 days,8
2017-01-03,2024-12-26,31.82%,17688.96,"$17,734.18",253.78,17.16,128.19,7.29,749,299,450,39.92%,1.66,2.16,4.88,67.28,-3.77,-1.06,0.00 days,0.00 days,9
2017-01-03,2024-12-26,30.37%,17185.99,"$17,198.10",243.72,16.74,128.19,7.26,784,300,484,38.27%,1.66,2.12,5.26,39.91,-6.11,-1.17,0.00 days,0.00 days,10
2017-01-03,2024-12-26,32.98%,16071.12,"$16,173.75",221.42,15.76,128.19,7.49,753,316,437,41.97%,1.53,1.95,4.2,49.69,-4.46,-1.3,0.00 days,0.00 days,11
2017-01-03,2024-12-26,31.82%,17516.63,"$17,568.52",250.33,17.02,128.19,7.32,749,299,450,39.92%,1.64,2.13,4.82,65.42,-3.83,-1.08,0.00 days,0.00 days,12
2017-01-03,2024-12-26,31.54%,16177.54,"$16,380.61",223.55,15.86,128.19,7.7,814,374,440,45.95%,1.53,1.91,3.74,44.77,-4.99,-1.44,0.00 days,0.00 days,13
2017-01-03,2024-12-26,31.54%,16415.74,"$16,616.76",228.31,16.07,128.19,7.64,814,374,440,45.95%,1.54,1.94,3.81,46.31,-4.93,-1.4,0.00 days,0.00 days,14
2017-01-03,2024-12-26,31.22%,17142.5,"$17,312.94",242.85,16.7,128.19,7.22,782,327,455,41.82%,1.62,2.13,4.63,58.67,-4.14,-1.14,0.00 days,0.00 days,15
2017-01-03,2024-12-26,28.78%,17354.2,"$17,497.57",247.08,16.88,128.19,7.23,845,358,487,42.37%,1.66,2.14,4.98,43.01,-5.74,-1.32,0.00 days,0.00 days,16
