rsi_upper,rsi_lower,stop_loss_points,take_profit_points,Total Return (%),Sharpe Ratio
70,20,4,15,136.5,3.1344613441568865
70,20,4,16,151.6,3.2691259473900955
70,20,4,17,158.4,3.3045980113007327
70,20,4,18,154.8,3.245620099702746
70,20,4,19,157.20000000000002,3.236521799741902
70,20,4,20,140.0,2.8849580428138957
70,20,4,21,132.8,2.7373078932913435
70,20,4,22,133.6,2.7061929002027796
70,20,4,23,146.2,2.859168414689253
70,20,4,24,147.55,2.811618301179245
70,20,4,25,149.35,2.782337888260517
70,20,4,26,153.55,2.763081154409425
70,20,4,27,153.95000000000002,2.789184972547302
70,20,4,28,158.35,2.7732758628723833
70,20,4,29,163.54999999999998,2.7883877933378747
70,20,5,15,137.0,3.077143147213385
70,20,5,16,155.4,3.286992926277726
70,20,5,17,163.39999999999998,3.338196909229334
70,20,5,18,159.3,3.250518358680549
70,20,5,19,159.60000000000002,3.240861963101518
70,20,5,20,143.0,2.9295136663179897
70,20,5,21,133.8,2.7405335005442177
70,20,5,22,134.4,2.6835272801968344
70,20,5,23,145.79999999999998,2.8384343020602594
70,20,5,24,157.75,2.9255751322543473
70,20,5,25,162.65,2.9225712232946246
70,20,5,26,159.75,2.780310009802438
70,20,5,27,154.85,2.7302918987475167
70,20,5,28,159.35,2.7191371555809156
70,20,5,29,163.95,2.7273179758187873
70,20,6,15,134.7,2.9041022994805203
70,20,6,16,151.0,3.053996435531536
70,20,6,17,150.4,2.973810316464965
70,20,6,18,147.6,2.917848438317543
70,20,6,19,150.89999999999998,2.9545356560396323
70,20,6,20,133.4,2.6307222678895372
70,20,6,21,124.2,2.4572179615825336
70,20,6,22,124.8,2.392346939932105
70,20,6,23,136.3,2.549264572272738
70,20,6,24,148.15,2.6762528667805823
70,20,6,25,154.15,2.6888799986477734
70,20,6,26,149.35,2.526270175392622
70,20,6,27,151.45,2.5753735394823942
70,20,6,28,156.95,2.581219062550693
70,20,6,29,162.05,2.5849404785871006
70,20,7,15,126.2,2.5966491657011543
70,20,7,16,142.9,2.7929904514396275
70,20,7,17,144.2,2.74318094324669
70,20,7,18,146.9,2.749934383044862
70,20,7,19,141.0,2.6356694961828495
70,20,7,20,122.0,2.3307348239198284
70,20,7,21,112.7,2.1620877786015513
