Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Sharpe Ratio Float
16,3,17,2.40,"15,765.04","16,050.56",215.30,33.57,43.48,1.26,1129,291,838,25.78,1.79,0.53,21.31,9.29,-3.61,-3.61,0.96,0.30,0.53
19,3,17,2.34,"15,568.48","15,821.52",211.37,33.15,43.44,1.25,1098,284,814,25.87,1.80,0.53,21.49,7.09,-4.67,-4.67,0.96,0.31,0.53
15,3,17,2.43,"15,737.68","16,023.20",214.75,33.51,43.82,1.27,1143,293,850,25.63,1.78,0.53,21.03,9.23,-3.63,-3.63,0.96,0.30,0.53
19,3,14,2.45,"14,596.52","14,863.28",191.93,31.00,43.44,1.17,1152,333,819,28.91,1.72,0.53,17.96,7.55,-4.11,-4.11,0.96,0.30,0.53
18,3,17,2.35,"15,354.80","15,607.84",207.10,32.69,43.46,1.26,1105,283,822,25.61,1.78,0.52,20.99,6.99,-4.67,-4.67,0.96,0.31,0.52
20,3,17,2.32,"15,282.16","15,635.20",205.64,32.53,43.21,1.25,1091,280,811,25.66,1.78,0.52,21.09,7.37,-4.41,-4.41,0.96,0.31,0.52
13,3,14,2.61,"14,771.00","14,965.20",195.42,31.37,43.91,1.20,1225,349,876,28.49,1.69,0.52,17.27,7.18,-4.37,-4.37,0.96,0.29,0.52
20,3,15,2.39,"14,556.24","14,768.00",191.12,30.91,43.21,1.20,1124,309,815,27.49,1.72,0.52,18.61,8.10,-3.82,-3.82,0.96,0.30,0.52
20,3,14,2.44,"14,370.20","14,636.96",187.40,30.49,43.21,1.16,1145,329,816,28.73,1.71,0.52,17.68,7.44,-4.10,-4.10,0.96,0.30,0.52
20,3,13,2.47,"14,081.60","14,259.60",181.63,29.82,43.21,1.14,1160,349,811,30.09,1.69,0.52,16.69,7.17,-4.16,-4.16,0.96,0.30,0.52
16,3,13,2.55,"14,184.48","14,394.96",183.69,30.06,43.48,1.16,1198,358,840,29.88,1.67,0.52,16.37,6.30,-4.77,-4.77,0.96,0.29,0.52
16,3,14,2.52,"14,586.84","14,902.32",191.74,30.98,43.48,1.18,1184,339,845,28.63,1.70,0.52,17.51,7.00,-4.43,-4.43,0.96,0.29,0.52
16,3,15,2.47,"14,912.88","15,173.36",198.26,31.71,43.48,1.21,1163,320,843,27.52,1.72,0.52,18.66,7.67,-4.13,-4.13,0.96,0.30,0.52
16,3,16,2.43,"14,891.40","15,143.16",197.83,31.67,43.48,1.24,1140,299,841,26.23,1.72,0.52,19.28,7.98,-3.97,-3.97,0.96,0.30,0.52
17,3,17,2.38,"15,227.44","15,496.72",204.55,32.41,43.38,1.27,1119,284,835,25.38,1.75,0.52,20.53,6.52,-4.97,-4.97,0.96,0.30,0.52
18,3,13,2.50,"14,110.48","14,304.72",182.21,29.89,43.46,1.15,1173,352,821,30.01,1.68,0.52,16.57,7.17,-4.17,-4.17,0.96,0.30,0.52
18,3,14,2.46,"14,499.08","14,765.84",189.98,30.78,43.46,1.17,1158,333,825,28.76,1.71,0.52,17.72,7.49,-4.11,-4.11,0.96,0.30,0.52
18,3,15,2.42,"14,598.88","14,810.64",191.98,31.01,43.46,1.21,1138,312,826,27.42,1.72,0.52,18.48,8.11,-3.83,-3.83,0.96,0.30,0.52
15,3,15,2.50,"14,775.52","15,036.00",195.51,31.41,43.82,1.22,1177,321,856,27.27,1.70,0.52,18.23,7.56,-4.16,-4.16,0.96,0.29,0.52
19,3,12,2.53,"13,756.88","13,791.12",175.14,29.06,43.44,1.11,1188,374,814,31.48,1.66,0.52,15.51,7.45,-3.90,-3.90,0.96,0.30,0.52
19,3,13,2.48,"14,207.92","14,385.92",184.16,30.12,43.44,1.14,1167,352,815,30.16,1.70,0.52,16.80,7.22,-4.17,-4.17,0.96,0.30,0.52
19,3,15,2.40,"14,638.80","14,850.56",192.78,31.10,43.44,1.20,1130,311,819,27.52,1.72,0.52,18.67,8.13,-3.83,-3.83,0.96,0.30,0.52
14,3,17,2.46,"15,610.32","15,928.32",212.21,33.21,43.91,1.28,1157,294,863,25.41,1.76,0.52,20.59,9.10,-3.65,-3.65,0.96,0.30,0.52
15,3,14,2.55,"14,545.72","14,861.20",190.91,30.89,43.82,1.19,1197,341,856,28.49,1.69,0.52,17.27,6.94,-4.45,-4.45,0.96,0.29,0.52
13,3,17,2.49,"15,466.72","15,684.72",209.33,32.90,43.91,1.29,1172,295,877,25.17,1.73,0.52,20.11,8.47,-3.88,-3.88,0.96,0.29,0.52
20,3,12,2.51,"13,586.80","13,621.04",171.74,28.66,43.21,1.11,1180,370,810,31.36,1.65,0.51,15.33,7.29,-3.93,-3.93,0.96,0.30,0.51
14,3,14,2.57,"14,589.60","14,937.56",191.79,30.96,43.91,1.20,1210,344,866,28.43,1.68,0.51,17.17,6.69,-4.63,-4.63,0.96,0.29,0.51
18,3,12,2.54,"13,659.44","13,709.92",173.19,28.83,43.46,1.11,1194,374,820,31.32,1.65,0.51,15.28,7.39,-3.90,-3.90,0.96,0.29,0.51
20,3,16,2.35,"14,447.28","14,666.56",188.95,30.66,43.21,1.22,1103,288,815,26.11,1.71,0.51,19.06,8.62,-3.56,-3.56,0.96,0.31,0.51
15,3,13,2.58,"14,117.12","14,327.60",182.34,29.91,43.82,1.16,1212,360,852,29.70,1.66,0.51,16.09,6.24,-4.80,-4.80,0.96,0.29,0.51
14,3,13,2.61,"14,146.00","14,388.96",182.92,29.95,43.91,1.18,1225,363,862,29.63,1.65,0.51,15.98,6.21,-4.82,-4.82,0.96,0.29,0.51
15,3,18,2.40,"15,241.28","15,571.68",204.83,32.44,43.82,1.29,1128,272,856,24.11,1.74,0.51,20.75,9.95,-3.26,-3.26,0.96,0.30,0.51
15,3,12,2.62,"13,701.08","13,767.80",174.02,28.93,43.82,1.13,1233,383,850,31.06,1.63,0.51,14.91,6.82,-4.24,-4.24,0.96,0.29,0.51
13,3,15,2.56,"14,680.80","14,900.00",193.62,31.17,43.91,1.23,1205,325,880,26.97,1.68,0.51,17.69,8.51,-3.66,-3.66,0.96,0.29,0.51
13,3,13,2.64,"14,302.40","14,481.60",186.05,30.31,43.91,1.18,1240,368,872,29.68,1.66,0.51,16.05,7.69,-3.94,-3.94,0.96,0.29,0.51
14,3,15,2.53,"14,760.64","15,053.60",195.21,31.35,43.91,1.23,1189,323,866,27.17,1.69,0.51,18.04,7.50,-4.18,-4.18,0.96,0.29,0.51
16,3,12,2.59,"13,703.44","13,770.16",174.07,28.94,43.48,1.13,1219,380,839,31.17,1.64,0.51,15.07,6.86,-4.22,-4.22,0.96,0.29,0.51
16,3,18,2.37,"15,258.64","15,589.04",205.17,32.48,43.48,1.29,1114,270,844,24.24,1.75,0.51,21.01,9.97,-3.26,-3.26,0.96,0.30,0.51
15,3,16,2.46,"14,759.04","15,010.80",195.18,31.37,43.82,1.24,1154,300,854,26.00,1.70,0.51,18.85,7.87,-3.99,-3.99,0.96,0.30,0.51
17,3,15,2.45,"14,567.76","14,795.76",191.36,30.94,43.38,1.21,1151,314,837,27.28,1.70,0.51,18.24,7.50,-4.12,-4.12,0.96,0.30,0.51
17,3,14,2.49,"14,287.96","14,570.96",185.76,30.30,43.38,1.18,1171,333,838,28.44,1.68,0.51,17.19,6.87,-4.41,-4.41,0.96,0.30,0.51
17,3,13,2.52,"13,899.36","14,093.60",177.99,29.40,43.38,1.15,1186,352,834,29.68,1.66,0.51,16.06,6.56,-4.48,-4.48,0.96,0.30,0.51
19,3,16,2.36,"14,539.84","14,759.12",190.80,30.88,43.44,1.22,1109,290,819,26.15,1.72,0.51,19.13,8.43,-3.66,-3.66,0.96,0.30,0.51
13,3,12,2.68,"13,787.60","13,828.04",175.75,29.11,43.91,1.15,1260,390,870,30.95,1.62,0.51,14.75,7.96,-3.66,-3.66,0.96,0.28,0.51
13,3,16,2.52,"14,746.84","14,936.08",194.94,31.32,43.91,1.26,1184,305,879,25.76,1.68,0.50,18.40,7.90,-3.97,-3.97,0.96,0.29,0.5
18,3,16,2.37,"14,331.16","14,550.44",186.62,30.40,43.46,1.23,1116,289,827,25.90,1.69,0.50,18.66,8.30,-3.66,-3.66,0.96,0.30,0.5
12,3,14,2.68,"14,218.84","14,579.24",184.38,30.12,43.98,1.22,1259,349,910,27.72,1.62,0.50,15.99,7.60,-3.96,-3.96,0.96,0.28,0.5
11,3,13,2.79,"14,093.12","14,289.76",181.86,29.83,43.94,1.20,1312,380,932,28.96,1.60,0.50,14.94,8.34,-3.58,-3.58,0.96,0.27,0.5
11,3,14,2.75,"14,500.44","14,792.08",190.01,30.76,43.94,1.23,1294,359,935,27.74,1.63,0.50,16.03,8.59,-3.58,-3.58,0.96,0.28,0.5
11,3,17,2.64,"15,146.16","15,477.84",202.92,32.20,43.94,1.32,1241,303,938,24.42,1.67,0.50,18.60,7.80,-4.13,-4.13,0.96,0.28,0.5
17,3,16,2.40,"14,293.80","14,529.32",185.88,30.31,43.38,1.24,1130,291,839,25.75,1.68,0.50,18.39,7.66,-3.96,-3.96,0.96,0.30,0.5
17,3,12,2.57,"13,432.08","13,482.56",168.64,28.29,43.38,1.12,1208,374,834,30.96,1.62,0.50,14.76,6.72,-4.21,-4.21,0.96,0.29,0.5
12,3,17,2.56,"15,030.80","15,346.24",200.62,31.95,43.98,1.31,1205,296,909,24.56,1.68,0.50,18.90,6.89,-4.64,-4.64,0.96,0.29,0.5
11,3,15,2.71,"14,730.24","14,956.88",194.60,31.28,43.94,1.27,1274,338,936,26.53,1.64,0.50,16.91,10.28,-3.04,-3.04,0.96,0.28,0.5
12,3,13,2.71,"14,117.76","14,378.16",182.36,29.88,43.98,1.19,1276,373,903,29.23,1.62,0.50,15.36,9.16,-3.26,-3.26,0.96,0.28,0.5
14,3,16,2.49,"14,721.68","15,005.92",194.43,31.26,43.91,1.26,1168,302,866,25.86,1.69,0.50,18.58,7.70,-4.06,-4.06,0.96,0.29,0.5
14,3,18,2.43,"15,135.16","15,498.04",202.70,32.18,43.91,1.31,1141,273,868,23.93,1.72,0.50,20.35,9.23,-3.49,-3.49,0.96,0.30,0.5
14,3,12,2.65,"13,639.96","13,739.16",172.80,28.76,43.91,1.15,1246,385,861,30.90,1.62,0.50,14.67,6.74,-4.27,-4.27,0.96,0.28,0.5
10,3,17,2.73,"15,296.56","15,544.48",205.93,32.53,43.91,1.32,1281,311,970,24.28,1.65,0.50,18.32,7.13,-4.57,-4.57,0.96,0.27,0.5
10,3,12,2.92,"13,677.48","13,756.60",173.55,28.85,43.91,1.17,1373,413,960,30.08,1.56,0.49,13.47,8.78,-3.29,-3.29,0.96,0.26,0.49
19,3,11,2.57,"12,892.08","12,892.08",157.84,26.97,43.44,1.10,1208,393,815,32.53,1.60,0.49,13.63,6.65,-4.06,-4.06,0.96,0.29,0.49
16,3,19,2.33,"15,079.68","15,352.72",201.59,32.08,43.48,1.34,1093,253,840,23.15,1.74,0.49,21.37,8.59,-3.74,-3.74,0.96,0.31,0.49
18,3,18,2.32,"14,687.16","15,106.32",193.74,31.21,43.46,1.29,1091,261,830,23.92,1.72,0.49,20.34,7.90,-3.95,-3.95,0.96,0.31,0.49
20,3,11,2.56,"12,865.76","12,865.76",157.32,26.90,43.21,1.10,1201,391,810,32.56,1.60,0.49,13.66,6.63,-4.06,-4.06,0.96,0.29,0.49
14,3,19,2.39,"15,394.96","15,700.48",207.90,32.75,43.91,1.36,1121,260,861,23.19,1.74,0.49,21.48,10.15,-3.23,-3.23,0.96,0.30,0.49
10,3,15,2.80,"14,498.16","14,741.04",189.96,30.76,43.91,1.27,1316,343,973,26.06,1.60,0.49,16.07,9.00,-3.42,-3.42,0.96,0.27,0.49
10,3,14,2.84,"14,243.36","14,551.24",184.87,30.17,43.91,1.23,1336,364,972,27.25,1.59,0.49,15.19,9.86,-3.06,-3.06,0.96,0.27,0.49
10,3,13,2.88,"13,843.52","14,056.40",176.87,29.24,43.91,1.21,1352,385,967,28.48,1.56,0.49,14.17,8.85,-3.31,-3.31,0.96,0.27,0.49
20,3,19,2.25,"14,800.56","15,277.36",196.01,31.46,43.21,1.32,1056,245,811,23.20,1.74,0.49,21.49,7.24,-4.35,-4.35,0.96,0.31,0.49
11,3,12,2.84,"13,577.08","13,639.96",171.54,28.61,43.94,1.17,1333,403,930,30.23,1.57,0.49,13.69,7.20,-3.98,-3.98,0.96,0.27,0.49
19,3,18,2.31,"14,590.84","15,010.00",191.82,30.99,43.44,1.28,1084,259,825,23.89,1.72,0.49,20.28,7.80,-3.98,-3.98,0.96,0.31,0.49
19,3,19,2.26,"14,829.36","15,306.16",196.59,31.53,43.44,1.32,1061,246,815,23.19,1.74,0.49,21.46,7.26,-4.34,-4.34,0.96,0.31,0.49
12,3,12,2.76,"13,519.20","13,640.84",170.38,28.47,43.98,1.16,1295,394,901,30.42,1.58,0.49,13.98,7.78,-3.66,-3.66,0.96,0.28,0.49
15,3,19,2.36,"15,292.32","15,565.36",205.85,32.55,43.82,1.35,1107,257,850,23.22,1.75,0.49,21.53,9.22,-3.53,-3.53,0.96,0.30,0.49
12,3,15,2.64,"14,472.40","14,772.80",189.45,30.70,43.98,1.26,1240,329,911,26.53,1.64,0.49,16.91,8.96,-3.43,-3.43,0.96,0.28,0.49
13,3,18,2.46,"14,980.32","15,238.20",199.61,31.84,43.91,1.32,1157,274,883,23.68,1.70,0.49,19.83,9.80,-3.25,-3.25,0.96,0.29,0.49
13,3,19,2.42,"15,261.36","15,456.88",205.23,32.46,43.91,1.36,1136,261,875,22.98,1.72,0.49,20.99,9.29,-3.49,-3.49,0.96,0.30,0.49
