date,symbol,price,target_w,held_w
2026-05-29,ADA,0.2328,0.0,0.0
2026-05-29,AVAX,8.82,0.0,0.0
2026-05-29,BNB,642.63,0.0,0.0
2026-05-29,BTC,73366.77,0.0,0.0
2026-05-29,DOGE,0.09967,0.0,0.0
2026-05-29,ETH,2011.65,0.0,0.0
2026-05-29,LINK,9.008,0.0,0.0
2026-05-29,LTC,51.82,0.0,0.0
2026-05-29,SOL,81.92,0.0,0.0
2026-05-29,XRP,1.328,0.0,0.0
2026-05-30,ADA,0.2356,0.0,0.0
2026-05-30,AVAX,8.92,0.0,0.0
2026-05-30,BNB,717.48,0.003629,0.0
2026-05-30,BTC,73770.69,0.0,0.0
2026-05-30,DOGE,0.10047,0.0,0.0
2026-05-30,ETH,2019.58,0.0,0.0
2026-05-30,LINK,9.177,0.0,0.0
2026-05-30,LTC,52.38,0.0,0.0
2026-05-30,SOL,82.61,0.0,0.0
2026-05-30,XRP,1.339,0.0,0.0
2026-05-31,ADA,0.2354,0.0,0.0
2026-05-31,AVAX,8.97,0.0,0.0
2026-05-31,BNB,709.58,0.008135,0.004135
2026-05-31,BTC,73575.17,0.0,0.0
2026-05-31,DOGE,0.10029,0.0,0.0
2026-05-31,ETH,2004.0,0.0,0.0
2026-05-31,LINK,9.137,0.0,0.0
2026-05-31,LTC,51.99,0.0,0.0
2026-05-31,SOL,82.32,0.0,0.0
2026-05-31,XRP,1.3312,0.0,0.0
2026-06-01,ADA,0.2308,0.0,0.0
2026-06-01,AVAX,8.92,0.0,0.0
2026-06-01,BNB,692.26,0.010027,0.006027
2026-06-01,BTC,71314.42,0.0,0.0
2026-06-01,DOGE,0.10098,0.0,0.0
2026-06-01,ETH,2004.0,0.0,0.0
2026-06-01,LINK,9.047,0.0,0.0
2026-06-01,LTC,50.71,0.0,0.0
2026-06-01,SOL,81.16,0.0,0.0
2026-06-01,XRP,1.2954,0.0,0.0
2026-06-02,ADA,0.2126,0.0,0.0
2026-06-02,AVAX,8.17,0.0,0.0
2026-06-02,BNB,649.82,0.006223,0.006027
2026-06-02,BTC,66658.35,0.0,0.0
2026-06-02,DOGE,0.09262,0.0,0.0
2026-06-02,ETH,1857.32,0.0,0.0
2026-06-02,LINK,8.362,0.0,0.0
2026-06-02,LTC,46.84,0.0,0.0
2026-06-02,SOL,74.12,0.0,0.0
2026-06-02,XRP,1.2101,0.0,0.0
2026-06-03,ADA,0.2002,0.0,0.0
2026-06-03,AVAX,8.04,0.0,0.0
2026-06-03,BNB,619.79,0.001564,0.005564
2026-06-03,BTC,64040.0,0.0,0.0
2026-06-03,DOGE,0.09126,0.0,0.0
2026-06-03,ETH,1810.66,0.0,0.0
2026-06-03,LINK,8.323,0.0,0.0
2026-06-03,LTC,47.08,0.0,0.0
2026-06-03,SOL,71.52,0.0,0.0
2026-06-03,XRP,1.1994,0.0,0.0
2026-06-04,ADA,0.1796,0.0,0.0
2026-06-04,AVAX,7.69,0.0,0.0
2026-06-04,BNB,603.48,0.0,0.004
2026-06-04,BTC,63806.02,0.0,0.0
2026-06-04,DOGE,0.08834,0.0,0.0
2026-06-04,ETH,1768.53,0.0,0.0
2026-06-04,LINK,8.008,0.0,0.0
2026-06-04,LTC,45.6,0.0,0.0
2026-06-04,SOL,68.79,0.0,0.0
2026-06-04,XRP,1.1676,0.0,0.0
2026-06-07,ADA,0.1652,0.0,0.0
2026-06-07,AVAX,6.82,0.0,0.0
2026-06-07,BNB,604.37,0.0,0.004
2026-06-07,BTC,63302.73,0.0,0.0
2026-06-07,DOGE,0.08625,0.0,0.0
2026-06-07,ETH,1689.75,0.0,0.0
2026-06-07,LINK,7.912,0.0,0.0
2026-06-07,LTC,42.82,0.0,0.0
2026-06-07,SOL,66.46,0.0,0.0
2026-06-07,XRP,1.1551,0.0,0.0
